indicator_id,dataset_id,topic_id,name_en,name_ne,definition,default_unit_id,value_type,is_additive,notes
population,cod-ps-npl,population,Population,जनसंख्या,"Resident population. Figures for years after the last census are projections, not counts.",persons,numeric,true,"Additive across places within a level and across disjoint dimension members, but totals (sex=all, age_band=all) coexist with components -- filter, never sum blindly."
cpi_inflation_annual,worldbank-npl,economy,"Inflation, consumer prices",उपभोक्ता मुद्रास्फीति,Annual percentage change in the consumer price index.,percent,numeric,false,A rate. Never sum or average across places without population weighting.
gdp_per_capita_usd,worldbank-npl,economy,GDP per capita,प्रति व्यक्ति कुल गार्हस्थ उत्पादन,"Gross domestic product divided by midyear population, in current US dollars.",usd_current,numeric,false,A per-capita ratio. Not additive.
remittances_received_usd,worldbank-npl,economy,"Remittances received, total",प्राप्त विप्रेषण (कुल),"Personal transfers and compensation of employees received, in current US dollars.",usd_current,numeric,true,Additive across places in principle; published nationally only.
remittances_percent_gdp,worldbank-npl,economy,"Remittances received, share of GDP",प्राप्त विप्रेषण (कुल गार्हस्थ उत्पादनको अंश),Personal remittances received as a share of GDP.,percent_gdp,numeric,false,A share. Not additive.
households,nso-nphc-2021,population,Households,घरपरिवार,"Number of households enumerated. An institutional facility counts as one household.",households,numeric,true,Additive across places.
literacy_rate,nso-nphc-2021,education,Literacy rate,साक्षरता दर,"Share of the population aged 5 and over who can read and write. The denominator is the 5-plus population, not the total population.",percent,numeric,false,"A rate. Never sum or unweighted-average across places; recompute from the counts."
population_5plus,nso-nphc-2021,education,Population aged 5 and over,५ वर्ष र माथिको जनसंख्या,"The denominator for literacy. Published because a rate without its base cannot be recomputed or aggregated.",persons,numeric,true,Additive across places.
literate_population,nso-nphc-2021,education,Literate population,साक्षर जनसंख्या,"People aged 5 and over who can read and write.",persons,numeric,true,Additive across places.
life_expectancy_at_birth,worldbank-npl,health,Life expectancy at birth,जन्मताका जीवन प्रत्याशा,"Number of years a newborn would live if mortality patterns at the time of its birth stayed the same throughout its life.",years,numeric,false,A rate. Never sum or average across places or periods.
under5_mortality_rate,worldbank-npl,health,Under-5 mortality rate,५ वर्षमुनिको मृत्युदर,"Probability of dying between birth and exactly age 5, expressed per 1000 live births.",per_1000_live_births,numeric,false,A rate. Never sum or average across places or periods.
maternal_mortality_ratio,worldbank-npl,health,Maternal mortality ratio,मातृ मृत्यु अनुपात,"Modelled estimate of women who die from pregnancy-related causes while pregnant or within 42 days of the end of pregnancy, per 100000 live births.",per_100000_live_births,numeric,false,A modelled estimate. Never sum or average across places or periods.
immunization_dpt_rate,worldbank-npl,health,"Immunization, DPT",डीपीटी खोप दर,Share of children aged 12-23 months who received diphtheria-pertussis-tetanus (DPT) vaccine doses.,percent,numeric,false,A rate. Never sum or average across places or periods.
agriculture_value_added_pct_gdp,worldbank-npl,agriculture,"Agriculture, forestry and fishing, value added","कृषि, वन र मत्स्यपालनको योगदान (कुल गार्हस्थ उत्पादनको अंश)","Value added from agriculture, forestry, and fishing, as a share of GDP.",percent_gdp,numeric,false,A share. Not additive.
